Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,5.46963647476911,4.93559539015091,0.00497510690647129,-3.83851781359374,-3.6489526478859,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.40545199647325,1.33036948429062,0.536147684049305
1961-04-01,5.68335360705028,5.122757936405,0.0114669998443762,-3.54011766863687,-3.81133347575944,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1961-04-01,1.40970427674941,1.3196697743904,0.524449062005647
1961-07-01,5.59048591941041,5.03640543930301,0.0142082747773729,-2.77495069737563,-3.76093343781353,,,1.41016125715748,-0.476954152374018,-0.0696730979484194,0.686109726592863,0.0812732162090999,0.444084712839435,0.795308145677416,0.501041527026515,-0.110976527035056,1.10719395247987,7.57075776579269,1.59680829389372,2.10744770920623,0.93320710478346,,,1961-07-01,1.41164979590214,1.30967181025827,0.513882556462632
1961-10-01,5.56395464064377,5.01524098777788,0.0111101487469105,-2.08080618709016,-3.64805079053311,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.41024135611339,1.3005067965252,0.504105695147373
1962-01-01,5.37995765320395,4.84673423932441,0.0136828141468192,-1.24025742738399,-3.6632858395828,,,13.645649584695,4.50671956951981,4.07657524464547,16.4890777959901,3.04678018412097,4.67507300429087,28.8724521115212,6.35762904877695,2.82338050857488,3.329865788573,2.34267090471374,0.872933254751219,1.29985272432874,,,,1962-01-01,1.40086799177091,1.29258496971471,0.494740449930019
1962-04-01,4.84731489492006,4.37177968828953,0.00690686247153304,-0.620859214048778,-3.18585091455352,,,,,,,,,,,,,,,,,,,1962-04-01,1.38280384746865,1.2878945467516,0.48564217418033
1962-07-01,4.7378051435334,4.2761130376362,0.00331864814224997,-0.29720240872382,-2.97099777002592,,,,,,,,,,,,,,,,,,,1962-07-01,1.36736858852572,1.28470413017282,0.476688596056376
1962-10-01,4.28593153502081,3.88218719900618,-0.0124026541136177,-0.158598296730133,-2.46650568169008,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.37095333610687,1.28541368720887,0.468143765488979
1963-01-01,4.27096875052178,3.86349983987511,-0.00667490759490114,0.038927881935706,-2.4115258942593,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.37111541309132,1.2869773047087,0.460241876407622
1963-04-01,4.23764511737768,3.83020718067417,-0.00313710980975128,0.302847727746666,-2.37305318640326,,,1.51814392515393,1.18970822031369,0.409536977075514,,,,,,,,,,,,,,1963-04-01,1.37540735544244,1.28946271402472,0.453246552217919
1963-07-01,4.56667949896057,4.11977849907979,0.00528565922281493,0.697469912992347,-2.32611367529498,,,,,,,,,,,,,,,,,,,1963-07-01,1.35880698742551,1.28996190501728,0.446826962529815
1963-10-01,4.29404302817172,3.86972344211872,0.00950863528827493,1.13014458321607,-2.25597112761157,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.37212917271712,1.29340338415717,0.441386386437745
1964-01-01,4.60123211169986,4.14531698522755,0.0115622145438153,1.35489245640088,-2.65516221073281,,,Draws excluded:,,136,Total:,5000,,,,,,,,,,,,1964-01-01,1.36310289615277,1.29444993351469,0.436419801547506
1964-04-01,4.51721158393956,4.08428920793868,-0.00488872726896328,1.52797928693042,-2.48960406083357,,,Percent excluded:,,0.0264797507788162,,,,,,,,,,,,,,1964-04-01,1.36776588068104,1.29691341444294,0.432181722715203
1964-07-01,4.61744545101033,4.18143643207575,-0.0122156792629728,1.68003868024641,-2.48377047352198,,,Draws excluded because a_r > -0.0025:,,,,0,,,,,,,,,,,,1964-07-01,1.37006281908675,1.29883808300029,0.428398097101486
1964-10-01,4.36125105412692,3.964820454257,-0.0285741754949412,1.64868541843418,-1.78226058963333,,,Draws excluded because b_y <  0.025:,,,,130,,,,,,,,,,,,1964-10-01,1.38099755988489,1.30369245774155,0.425711262271041
1965-01-01,4.7438746470859,4.29523760180552,-0.0117864500973225,1.90367847833477,-1.83509354889,,,Draws excluded because a_y1 + a_y2 < 1:,,,,7,,,,,,,,,,,,1965-01-01,1.38458137538488,1.30397316907798,0.423004252289269
1965-04-01,4.71399792556177,4.27675744672003,-0.0212020556699206,2.11212305554272,-1.71051628249751,,,,,,,,,,,,,,,,,,,1965-04-01,1.39647258916235,1.3041504903499,0.420750926257976
1965-07-01,4.96972794311434,4.5064185983122,-0.0197514762797637,2.3654572149718,-1.9997182610825,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1965-07-01,1.42532943176287,1.3004291110246,0.41830215606559
1965-10-01,5.18860429748887,4.70116666337849,-0.0164990018037853,2.77125291811058,-2.20127190258245,,,lambda_g,0.0694152937140735,,,-598.94302764726,,,,,,,,,,,,1965-10-01,1.47985337878996,1.29315444909219,0.4155528831892
1966-01-01,5.41903229146296,4.88953277229616,0.00537117552449778,3.35107484658749,-2.13911355789761,,,lambda_z,0.0179930894699367,,,,,,,,,,,,,,,1966-01-01,1.56007170289644,1.2826160670421,0.41245336204466
1966-04-01,5.15622096672712,4.62084450079765,0.0400498800940752,3.68888063884287,-1.99952739162559,,,,,,,,,,,,,,,,,,,1966-04-01,1.53290250518189,1.27500502530025,0.409991049857002
